n,k,PMI,fit0,fit1,fit2,fit3,fit4
5,3,tr,1.1426365081022845,1.2557585618047191,0.6960229464827471,0.6198569074152364,1.4057732600873938
5,3,tc,0.1174174859346428,-0.04917727868701685,-0.0630568083931371,-0.8743713857570276,1.4205530960732218
5,4,tr,0.2591842934928518,-1.320698799861056,0.49992767435763674,0.4830183720803821,-1.3651945222040478
5,4,tc,-5.486435841245171,-5.973506398728992,-5.720411666015788,-5.207616608300003,-7.716130974440889
5,5,tr,-1.9994478959901925,-0.594612590442063,1.0899680378725838,2.7564450113716683,1.9138263430620228
5,5,tc,18.758679205626724,18.29351631722409,20.103827510431216,22.372375435736483,16.832543976547626
5,6,tr,-5.99512092413442,4.320611256819552,-10.021134593599356,-17.597883416043608,-0.9279910996963437
5,6,tc,-17.464362238870375,-8.842362218060655,-20.321260639597277,-26.630051922242984,-8.422019711707849
5,7,tr,21.070692495467814,-8.084426011569628,17.924541534155384,22.49147326090633,-5.55011775658224
5,7,tc,-44.24781779908729,-62.98261953110178,-36.703729103751435,-34.09483229237606,-49.390862978003305
5,8,tr,15.613658280587181,28.120101068630415,18.521242005538888,36.4125752823273,29.191025587794783
5,8,tc,127.55699779093244,136.43159118014194,113.5959716586834,128.43679370869313,115.74197378317874
5,9,tr,-130.94697175458046,-87.69671356841066,-111.57524682773939,-147.6961169752922,-83.12892485313007
5,9,tc,-85.26699959298828,-62.022285090626916,-81.22131981740513,-110.69783078146426,-69.15065553111087
5,10,tr,138.936267653452,79.5680033527343,114.47392558439859,140.43367498071703,80.22302268222026
5,10,tc,-58.95472443397132,-100.29820188535582,-37.73220938805623,-13.215104171567013,-59.413272290370934
5,11,tr,51.29734219355713,69.61129561490593,34.98816322267216,31.467204419498138,39.41191673693118
5,11,tc,99.34259465145074,124.8818773721604,72.8985495428489,62.60613732619048,91.39807072249748
5,12,tr,-148.81197349830825,-140.16688150743875,-108.6824158042722,-113.0467923839215,-104.55903461719562
5,12,tc,-33.9638520542741,-38.96025794524849,-24.64506480630399,-22.712977276906884,-30.787945844368927
5,13,tr,58.8521728895589,52.688987935392795,41.831890722665854,43.23157219014753,42.43407267051962
8,1,tc,23.180638659832884,27.66711336409387,20.359499261390155,22.515111688823456,24.33715557501765
8,2,tr,-15.93264609656439,-18.540755459871907,-14.023625409134898,-15.414524563043477,-17.27047071607816
8,2,tc,1.9107252157834698,1.503950668505028,1.5281038474759923,1.456530098773099,1.9324848459688813
8,3,tr,7.259882826250802,9.076003807534592,7.772350412938922,7.251320389724724,8.66377784719874
8,3,tc,-7.57484615918999,-4.355621212803475,-7.836494521153835,-6.855040264497287,-7.8057949179983845
8,4,tr,-3.8524427835903063,-11.237550372914173,-2.686060918679976,-1.3432443462862387,-5.680744215618794
8,4,tc,7.415570710093282,-4.2826124925738736,10.284472197594727,11.981294224081708,5.494877460726322
8,5,tr,-17.08953491242912,-2.3839742640683337,-23.66312551823493,-36.99315232981035,-9.415955251108421
8,5,tc,88.3139251278203,99.47566818450765,72.75615531235219,62.078244721202445,97.31015419329438
8,6,tr,-18.9780609705122,-32.99803990496144,-9.579409079783506,-9.44009422941957,-23.49231716783984
8,6,tc,-234.07688002988908,-194.92804853664438,-198.6351395931705,-193.3906800976026,-202.57300178845506
8,7,tr,142.68226784633327,84.14068137341951,94.6912998824673,222.25960038285325,27.221834805006452
8,7,tc,-153.12690503271352,-242.17443319627617,-154.9426458244805,-91.82374121031653,-288.27056645916053
8,8,tr,156.77923647298562,329.5449932506832,223.23795319797944,-0.32708854853417674,420.4728268261776
8,8,tc,1094.9639237540696,1014.1745911180502,1000.0260621180756,765.1096986445857,1138.5683672013254
8,9,tr,-969.9316127708101,-996.2055090634748,-850.8245181108007,-818.7985510306014,-830.3305694904135
8,9,tc,-601.8678577444499,-329.185200587258,-543.9777716434456,-236.20639289193295,-292.84417121240347
8,10,tr,76.13068902136058,-164.53942965455994,-22.783474924919183,45.700267904817565,-640.1112002017315
8,10,tc,-1949.023820019181,-1630.3341617312253,-1775.4644351179334,-1755.7165042481931,-2207.2339003413213
8,11,tr,2718.0800228590947,2437.8986987401377,2378.011527812139,2425.80079195762,2916.6144818679836
8,11,tc,2967.657866601662,1897.6154251526725,2726.7600114234283,2359.1610477607437,2773.175881263762
8,12,tr,-3066.16299105685,-1888.7513158542693,-2800.604811225042,-2665.770579194228,-2506.8408540093196
8,12,tc,-1224.4818509559148,-604.130825882277,-1147.9195573014701,-925.6812896819158,-1028.2138770750496
8,13,tr,934.5561934212176,225.10209827319548,1026.798583341503,822.7328757762739,647.2162278215511
12,1,tc,32.73142314725557,39.13997152617219,28.437953739272025,32.47034749905131,35.11114068390992
12,2,tr,13.404555877158993,14.671260828845831,12.224760033564557,12.455191761648635,15.429483701932131
12,2,tc,1.5248101550824664,3.0880723793302916,1.0096394547371632,2.008823247401438,2.8019297646077264
